10000 17600
0 1 99
0 2 99
0 3 99
0 4 99
0 5 99
0 6 99
0 7 99
0 8 99
0 9 99
0 10 99
0 11 99
0 12 99
0 13 99
0 14 99
0 15 99
0 16 99
0 17 99
0 18 99
0 19 99
0 20 99
0 21 99
0 22 99
0 23 99
0 24 99
0 25 99
0 26 99
0 27 99
0 28 99
0 29 99
0 30 99
0 31 99
0 32 99
0 33 99
0 34 99
0 35 99
0 36 99
0 37 99
0 38 99
0 39 99
0 40 99
0 41 99
0 42 99
0 43 99
0 44 99
0 45 99
0 46 99
0 47 99
0 48 99
0 49 99
0 50 99
0 51 99
0 52 99
0 53 99
0 54 99
0 55 99
0 56 99
0 57 99
0 58 99
0 59 99
0 60 99
0 61 99
0 62 99
0 63 99
0 64 99
0 65 99
0 66 99
0 67 99
0 68 99
0 69 99
0 70 99
0 71 99
0 72 99
0 73 99
0 74 99
0 75 99
0 76 99
0 77 99
0 78 99
0 79 99
1 178 15
1 236 17
1 278 10
1 360 12
1 617 17
1 628 11
1 659 21
2 459 18
2 119 18
2 120 15
2 181 18
2 312 11
2 404 16
2 593 16
2 676 14
3 664 13
3 283 9
3 556 17
3 575 13
3 645 6
3 657 18
4 601 7
4 92 19
4 182 21
4 229 16
4 300 11
4 380 10
4 400 10
4 524 19
5 8409 20
5 561 15
5 161 20
5 345 5
5 427 8
5 471 21
5 473 6
5 546 8
5 564 11
5 616 21
5 691 5
6 346 21
6 210 16
6 367 12
6 436 9
6 515 7
6 523 15
6 596 8
6 644 9
6 689 11
7 5865 8
7 534 18
7 99 18
7 173 14
7 449 19
7 456 12
7 521 6
8 401 11
8 116 18
8 293 14
8 311 19
8 318 10
8 371 20
8 661 12
8 690 21
9 201 16
9 118 21
9 183 17
9 417 9
9 653 21
10 4637 21
10 494 7
10 200 11
10 353 5
10 500 20
10 604 15
10 614 11
10 638 17
11 98 14
11 179 6
11 205 11
11 248 14
11 257 18
11 273 11
11 287 15
11 445 18
11 501 6
12 160 11
12 110 17
12 133 20
12 143 7
12 245 16
