100 151
0 1 99
0 2 99
0 3 99
0 4 99
1 14 8
1 11 13
1 12 18
2 13 8
2 8 17
3 89 13
3 6 6
3 9 8
4 10 14
4 5 11
4 7 10
5 23 16
5 36 17
6 42 20
6 25 11
6 18 7
6 31 6
7 33 14
7 24 20
8 33 8
8 17 17
8 26 6
8 27 17
9 16 21
9 29 7
10 32 7
11 34 17
12 30 16
12 15 13
12 19 21
13 35 13
13 20 5
13 21 20
13 22 13
13 28 20
14 32 16
15 73 19
15 39 21
16 39 14
17 41 6
18 37 8
19 97 5
19 39 6
20 78 9
20 43 15
21 43 19
22 78 10
22 41 20
23 39 19
24 39 21
25 41 6
26 43 21
27 44 9
27 39 8
28 42 18
29 39 21
30 40 6
31 41 6
32 41 18
33 41 16
34 51 6
34 40 7
35 38 9
36 51 7
36 38 8
37 49 8
38 66 13
38 50 8
39 44 20
39 48 13
40 46 12
41 44 19
42 45 5
43 47 10
44 59 19
45 59 10
45 52 13
45 56 8
46 54 16
46 58 9
47 57 18
47 55 9
48 59 19
49 59 5
50 53 20
51 63 18
51 72 5
52 61 7
53 65 15
54 67 12
55 71 21
55 68 19
56 62 14
56 69 14
57 71 17
58 64 13
59 64 6
59 60 13
59 70 8
60 80 11
61 86 7
62 77 12
63 84 9
64 77 6
65 85 13
66 77 20
67 83 16
67 74 6
68 80 7
69 92 20
69 87 10
70 76 6
71 82 11
72 88 8
72 83 9
72 75 20
72 81 9
73 84 16
73 79 5
74 91 8
75 93 18
75 98 11
76 95 17
76 98 15
77 88 16
78 92 20
79 91 6
80 93 11
81 88 20
82 90 21
83 90 19
84 90 19
85 90 9
86 96 21
87 91 15
87 94 7
88 99 99
89 99 99
90 99 99
91 99 99
92 99 99
93 99 99
94 99 99
95 99 99
96 99 99
97 99 99
98 99 99
