40 62
0 1 99
0 2 99
0 3 99
0 4 99
0 5 99
0 6 99
1 27 16
2 8 11
3 8 12
4 9 6
5 7 17
6 16 8
6 32 20
7 37 15
7 38 10
7 12 9
7 15 7
8 13 11
8 11 16
8 14 10
9 10 13
10 17 12
11 18 7
12 25 9
12 31 19
13 17 8
14 17 10
15 19 11
15 20 5
16 18 5
17 22 16
17 37 8
18 21 10
18 32 8
19 21 19
19 23 11
19 24 18
20 28 12
20 29 13
21 28 16
21 29 13
22 26 10
23 26 20
24 31 7
24 32 11
25 28 19
26 31 7
26 34 15
26 30 17
27 36 18
28 36 14
28 33 18
29 35 9
30 32 20
31 39 99
32 39 99
33 39 99
34 39 99
35 39 99
36 39 99
37 39 99
38 39 99
