networkGen debug log:
tablica sectionTab: 
0 8 10 15 17 26 28 30 35 38 46 54 
--------------------------------
Podsumowanie:
Liczba pol: 7
Liczba drog-skrotow: 26
Liczba drog laczacych sasiednie skrzyzowania: 19
Liczba korekt drog: 21
Liczba karczm: 8

Liczba wszystkich wierzcholkow: 55
Liczba wszystkich polaczen: 81

0 1 99
0 2 99
0 3 99
0 4 99
0 5 99
0 6 99
0 7 99
1 28 11
2 41 19
3 52 11
4 31 11
5 8 5
6 9 17
7 9 13
8 51 10
8 10 10
8 11 13
8 12 19
8 14 16
9 13 19
10 16 17
11 42 16
12 29 8
13 45 5
14 15 8
15 36 6
15 17 12
15 18 14
15 19 13
15 20 18
15 21 15
15 22 10
15 23 21
15 24 10
15 25 13
16 45 14
17 42 16
17 26 13
18 32 13
19 27 15
20 42 20
21 27 15
22 47 7
23 38 16
24 44 19
25 36 8
26 45 11
27 28 9
28 45 8
28 30 18
28 33 5
28 34 14
29 40 7
30 42 8
30 35 15
31 38 9
31 37 17
32 49 10
33 53 20
34 48 18
35 46 17
35 39 14
36 41 17
37 43 12
38 46 11
38 50 21
39 49 15
40 46 18
41 46 21
42 47 14
43 46 7
44 51 18
45 48 15
46 54 99
47 54 99
48 54 99
49 54 99
50 54 99
51 54 99
52 54 99
53 54 99
