40 67
0 1 99
0 2 99
0 3 99
0 4 99
0 5 99
0 6 99
1 26 17
1 7 17
2 9 18
2 8 8
3 16 15
3 31 11
4 11 13
4 16 13
5 18 17
5 34 15
6 22 6
6 28 8
7 15 10
7 10 18
7 13 6
8 15 18
8 12 11
8 14 16
9 23 7
10 22 21
10 26 7
11 20 5
11 30 15
12 26 9
13 24 21
14 20 16
14 26 10
15 18 5
16 17 8
17 33 7
17 37 6
17 19 18
17 21 8
18 26 9
18 28 13
19 23 20
19 25 7
20 26 19
20 30 6
21 26 16
21 30 17
22 33 21
22 27 9
23 33 16
24 35 16
25 26 13
26 34 6
26 29 6
27 32 12
28 36 14
28 38 16
29 35 18
30 38 12
31 36 14
32 35 8
33 39 99
34 39 99
35 39 99
36 39 99
37 39 99
38 39 99
